Gebietsnummer;Gebietsname;GebietLandAbk
157;Sächsische Schweiz-Osterzgebirge;SN
158;Dresden I;SN
159;Dresden II - Bautzen II;SN
160;Mittelsachsen;SN
161;Chemnitz;SN
162;Chemnitzer Umland - Erzgebirgskreis II;SN
163;Erzgebirgskreis I;SN
164;Zwickau;SN
165;Vogtlandkreis;SN
166;Waldeck;HE
167;Kassel;HE
168;Werra-Meißner - Hersfeld-Rotenburg;HE
169;Schwalm-Eder;HE
170;Marburg;HE
171;Lahn-Dill;HE
172;Gießen;HE
173;Fulda;HE
174;Main-Kinzig - Wetterau II - Schotten;HE
175;Hochtaunus;HE
176;Wetterau I;HE
177;Rheingau-Taunus - Limburg;HE
178;Wiesbaden;HE
179;Hanau;HE
180;Main-Taunus;HE
181;Frankfurt am Main I;HE
182;Frankfurt am Main II;HE
183;Groß-Gerau;HE
184;Offenbach;HE
185;Darmstadt;HE
186;Odenwald;HE
187;Bergstraße;HE
188;Eichsfeld - Nordhausen - Kyffhäuserkreis;TH
189;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis;TH
190;Jena - Sömmerda - Weimarer Land I;TH
191;Gotha - Ilm-Kreis;TH
192;Erfurt - Weimar - Weimarer Land II;TH
193;Gera - Greiz - Altenburger Land;TH
194;Saalfeld-Rudolstadt - Saale-Holzland-Kreis - Saale-Orla-Kreis;TH
195;Suhl - Schmalkalden-Meiningen - Hildburghausen - Sonneberg;TH
196;Neuwied;RP
197;Ahrweiler;RP
198;Koblenz;RP
199;Mosel/Rhein-Hunsrück;RP
200;Kreuznach;RP
201;Bitburg;RP
202;Trier;RP
203;Montabaur;RP
204;Mainz;RP
205;Worms;RP
206;Ludwigshafen/Frankenthal;RP
207;Neustadt - Speyer;RP
208;Kaiserslautern;RP
209;Pirmasens;RP
210;Südpfalz;RP
211;Altötting;BY
212;Erding - Ebersberg;BY
213;Freising;BY
214;Fürstenfeldbruck;BY
215;Ingolstadt;BY
216;München-Nord;BY
217;München-Ost;BY
218;München-Süd;BY
219;München-West/Mitte;BY
220;München-Land;BY
221;Rosenheim;BY
222;Bad Tölz-Wolfratshausen - Miesbach;BY
223;Starnberg - Landsberg am Lech;BY
224;Traunstein;BY
225;Weilheim;BY
226;Deggendorf;BY
227;Landshut;BY
228;Passau;BY
229;Rottal-Inn;BY
230;Straubing;BY
231;Amberg;BY
232;Regensburg;BY
233;Schwandorf;BY
234;Weiden;BY
235;Bamberg;BY
236;Bayreuth;BY
237;Coburg;BY
238;Hof;BY
239;Kulmbach;BY
240;Ansbach;BY
241;Erlangen;BY
242;Fürth;BY
243;Nürnberg-Nord;BY
244;Nürnberg-Süd;BY
245;Roth;BY
246;Aschaffenburg;BY
247;Bad Kissingen;BY
248;Main-Spessart;BY
249;Schweinfurt;BY
250;Würzburg;BY
251;Augsburg-Stadt;BY
252;Augsburg-Land;BY
253;Donau-Ries;BY
254;Neu-Ulm;BY
255;Memmingen - Unterallgäu;BY
256;Oberallgäu;BY
257;Ostallgäu;BY
258;Stuttgart I;BW
259;Stuttgart II;BW
260;Böblingen;BW
261;Esslingen;BW
262;Nürtingen;BW
263;Göppingen;BW
264;Waiblingen;BW
265;Ludwigsburg;BW
266;Neckar-Zaber;BW
267;Heilbronn;BW
268;Schwäbisch Hall - Hohenlohe;BW
269;Backnang - Schwäbisch Gmünd;BW
270;Aalen - Heidenheim;BW
271;Karlsruhe-Stadt;BW
272;Karlsruhe-Land;BW
273;Rastatt;BW
274;Heidelberg;BW
275;Mannheim;BW
276;Odenwald - Tauber;BW
277;Rhein-Neckar;BW
278;Bruchsal - Schwetzingen;BW
279;Pforzheim;BW
280;Calw;BW
281;Freiburg;BW
282;Lörrach - Müllheim;BW
283;Emmendingen - Lahr;BW
284;Offenburg;BW
285;Rottweil - Tuttlingen;BW
286;Schwarzwald-Baar;BW
287;Konstanz;BW
288;Waldshut;BW
289;Reutlingen;BW
290;Tübingen;BW
291;Ulm;BW
292;Biberach;BW
293;Bodensee;BW
294;Ravensburg;BW
295;Zollernalb - Sigmaringen;BW
296;Saarbrücken;SL
297;Saarlouis;SL
298;St. Wendel;SL
299;Homburg;SL
