Gebietsnummer;Gebietsname;GebietLandAbk
158;Sächsische Schweiz-Osterzgebirge;SN
159;Dresden I;SN
160;Dresden II – Bautzen II;SN
161;Mittelsachsen;SN
162;Chemnitz;SN
163;Chemnitzer Umland – Erzgebirgskreis II;SN
164;Erzgebirgskreis I;SN
165;Zwickau;SN
166;Vogtlandkreis;SN
167;Waldeck;HE
168;Kassel;HE
169;Werra-Meißner – Hersfeld-Rotenburg;HE
170;Schwalm-Eder;HE
171;Marburg;HE
172;Lahn-Dill;HE
173;Gießen;HE
174;Fulda;HE
175;Main-Kinzig – Wetterau II – Schotten;HE
176;Hochtaunus;HE
177;Wetterau I;HE
178;Rheingau-Taunus – Limburg;HE
179;Wiesbaden;HE
180;Hanau;HE
181;Main-Taunus;HE
182;Frankfurt am Main I;HE
183;Frankfurt am Main II;HE
184;Groß-Gerau;HE
185;Offenbach;HE
186;Darmstadt;HE
187;Odenwald;HE
188;Bergstraße;HE
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;TH
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;TH
191;Jena – Sömmerda – Weimarer Land I;TH
192;Gotha – Ilm-Kreis;TH
193;Erfurt – Weimar – Weimarer Land II;TH
194;Gera – Greiz – Altenburger Land;TH
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;TH
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;TH
197;Neuwied;RP
198;Ahrweiler;RP
199;Koblenz;RP
200;Mosel/Rhein-Hunsrück;RP
201;Kreuznach;RP
202;Bitburg;RP
203;Trier;RP
204;Montabaur;RP
205;Mainz;RP
206;Worms;RP
207;Ludwigshafen/Frankenthal;RP
208;Neustadt – Speyer;RP
209;Kaiserslautern;RP
210;Pirmasens;RP
211;Südpfalz;RP
212;Altötting;BY
213;Erding – Ebersberg;BY
214;Freising;BY
215;Fürstenfeldbruck;BY
216;Ingolstadt;BY
217;München-Nord;BY
218;München-Ost;BY
219;München-Süd;BY
220;München-West/Mitte;BY
221;München-Land;BY
222;Rosenheim;BY
223;Bad Tölz-Wolfratshausen – Miesbach;BY
224;Starnberg – Landsberg am Lech;BY
225;Traunstein;BY
226;Weilheim;BY
227;Deggendorf;BY
228;Landshut;BY
229;Passau;BY
230;Rottal-Inn;BY
231;Straubing;BY
232;Amberg;BY
233;Regensburg;BY
234;Schwandorf;BY
235;Weiden;BY
236;Bamberg;BY
237;Bayreuth;BY
238;Coburg;BY
239;Hof;BY
240;Kulmbach;BY
241;Ansbach;BY
242;Erlangen;BY
243;Fürth;BY
244;Nürnberg-Nord;BY
245;Nürnberg-Süd;BY
246;Roth;BY
247;Aschaffenburg;BY
248;Bad Kissingen;BY
249;Main-Spessart;BY
250;Schweinfurt;BY
251;Würzburg;BY
252;Augsburg-Stadt;BY
253;Augsburg-Land;BY
254;Donau-Ries;BY
255;Neu-Ulm;BY
256;Oberallgäu;BY
257;Ostallgäu;BY
258;Stuttgart I;BW
259;Stuttgart II;BW
260;Böblingen;BW
261;Esslingen;BW
262;Nürtingen;BW
263;Göppingen;BW
264;Waiblingen;BW
265;Ludwigsburg;BW
266;Neckar-Zaber;BW
267;Heilbronn;BW
268;Schwäbisch Hall – Hohenlohe;BW
269;Backnang – Schwäbisch Gmünd;BW
270;Aalen – Heidenheim;BW
271;Karlsruhe-Stadt;BW
272;Karlsruhe-Land;BW
273;Rastatt;BW
274;Heidelberg;BW
275;Mannheim;BW
276;Odenwald – Tauber;BW
277;Rhein-Neckar;BW
278;Bruchsal – Schwetzingen;BW
279;Pforzheim;BW
280;Calw;BW
281;Freiburg;BW
282;Lörrach – Müllheim;BW
283;Emmendingen – Lahr;BW
284;Offenburg;BW
285;Rottweil – Tuttlingen;BW
286;Schwarzwald-Baar;BW
287;Konstanz;BW
288;Waldshut;BW
289;Reutlingen;BW
290;Tübingen;BW
291;Ulm;BW
292;Biberach;BW
293;Bodensee;BW
294;Ravensburg;BW
295;Zollernalb – Sigmaringen;BW
296;Saarbrücken;SL
297;Saarlouis;SL
298;St. Wendel;SL
299;Homburg;SL
